SubjectID,StimulusType,response,RT
6,0,0,0
6,1,1,374
6,1,1,517
6,0,0,0
6,1,1,340
6,1,1,408
6,1,1,390
6,1,1,339
6,1,1,391
6,1,1,425
6,1,1,340
6,1,1,390
6,1,1,373
6,1,1,373
6,1,1,289
6,1,1,357
6,0,1,255
6,1,1,408
6,1,1,425
6,1,1,459
6,0,0,0
6,1,1,391
6,1,1,391
6,1,1,408
6,1,1,356
6,0,0,0
6,1,1,662
6,1,1,390
6,1,1,476
6,1,1,442
6,1,1,323
6,1,1,476
6,1,1,561
6,0,0,0
6,1,1,407
6,1,1,424
6,1,1,578
6,1,1,374
6,0,0,0
6,1,1,408
6,1,1,408
6,1,1,426
6,1,1,577
6,1,1,459
6,0,0,0
6,1,1,374
6,1,1,561
6,0,0,0
6,0,0,0
6,1,1,459
6,1,1,509
6,0,0,0
6,1,1,476
6,1,1,510
6,1,1,850
6,1,1,510
6,1,1,425
6,1,1,441
6,1,1,409
6,1,1,425
6,1,1,340
6,1,1,323
6,1,1,322
6,1,1,391
6,1,1,340
6,0,0,0
6,1,1,272
6,0,0,0
6,0,0,0
6,1,1,408
6,0,0,0
6,1,1,323
6,1,1,374
6,0,0,0
6,1,1,357
6,1,1,374
6,1,1,340
6,1,1,306
6,1,1,307
6,1,1,340
6,0,0,0
6,1,1,323
6,1,1,323
6,1,1,374
6,1,1,272
6,1,1,340
6,1,1,374
6,0,0,0
6,0,0,0
6,1,1,340
6,1,1,341
6,1,1,390
6,1,1,407
6,1,1,339
6,0,0,0
6,1,1,476
6,1,1,357
6,1,1,390
6,1,1,373
6,1,1,373
1,1,1,432
1,1,1,467
1,1,1,528
1,1,1,452
1,0,0,0
1,1,1,433
1,0,0,0
1,1,1,386
1,1,1,434
1,1,1,418
1,1,1,437
1,1,1,401
1,1,1,404
1,0,0,0
1,1,1,400
1,1,1,434
1,1,1,353
1,1,1,385
1,0,0,0
1,1,1,355
1,1,1,369
1,1,1,355
1,1,1,404
1,1,1,402
1,0,0,0
1,1,1,436
1,1,1,450
1,1,1,306
1,0,0,0
1,1,1,403
1,1,1,352
1,1,1,355
1,1,1,355
1,1,1,385
1,0,0,0
1,0,0,0
1,1,1,356
1,0,0,0
1,1,1,402
1,1,1,485
1,1,1,386
1,1,1,385
1,0,0,0
1,1,1,387
1,1,1,402
1,1,1,387
1,1,1,371
1,1,1,448
1,1,1,468
1,1,1,401
1,1,1,452
1,1,1,417
1,0,0,0
1,1,1,468
1,1,1,402
1,1,1,387
1,1,1,387
1,1,1,385
1,1,1,372
1,1,1,384
1,1,1,436
1,0,0,0
1,1,1,371
1,1,1,305
1,1,1,307
1,1,1,483
1,1,1,739
1,1,1,305
1,1,1,386
1,0,0,0
1,1,1,355
1,0,1,289
1,1,1,322
1,1,1,370
1,0,0,0
1,1,1,354
1,0,0,0
1,1,1,387
1,1,1,466
1,0,0,0
1,1,1,339
1,0,0,0
1,1,1,356
1,1,1,467
1,1,1,437
1,1,1,419
1,1,1,453
1,1,1,515
1,1,1,453
1,0,0,0
1,0,0,0
1,1,1,435
1,1,1,434
1,1,1,436
1,1,1,450
1,1,1,468
1,1,1,386
1,1,1,340
1,1,1,404
1,1,1,532
