SubjectID,StimulusType,RT,accuracy
01001,0,392.0,0.95
01001,1,408.7625,1.0
01002,0,256.3333333333333,0.85
01002,1,335.45,1.0
01003,0,258.0,0.8
01003,1,282.3544303797468,0.9875
01004,0,372.5,0.9
01004,1,377.65,1.0
01005,0,269.6,0.75
01005,1,380.5625,1.0
01006,0,265.3333333333333,0.85
01006,1,342.3625,1.0
01007,0,293.5,0.9
01007,1,349.4875,1.0
01008,1,367.9873417721519,0.9875
02001,0,425.0,0.9
02001,1,455.0506329113924,0.9875
02002,0,394.0,0.9
02002,1,470.7974683544304,0.9875
02003,0,283.0,0.95
02003,1,348.65,1.0
02004,0,350.0,0.9
02004,1,335.8375,1.0
02005,0,223.5,0.7
02005,1,370.425,1.0
02006,1,279.875,1.0
02007,0,370.0,0.95
02007,1,359.1625,1.0
02008,0,290.0,0.95
02008,1,370.0125,1.0
03001,0,270.3333333333333,0.85
03001,1,393.175,1.0
03002,0,336.5,0.9
03002,1,355.475,1.0
03003,0,299.6666666666667,0.85
03003,1,350.6125,1.0
03004,0,246.5,0.9
03004,1,344.2125,1.0
03005,1,425.6,1.0
03006,0,358.57142857142856,0.65
03006,1,319.075,1.0
03007,0,289.0,0.95
03007,1,307.1818181818182,0.9625
03008,0,282.5,0.8
03008,1,385.575,1.0
04001,0,289.0,0.95
04001,1,409.1625,1.0
04002,0,387.5,0.9
04002,1,340.3375,1.0
04003,0,260.6666666666667,0.85
04003,1,309.8625,1.0
04004,0,237.66666666666666,0.85
04004,1,310.9125,1.0
04005,1,470.825,1.0
04006,0,255.0,0.95
04006,1,404.9125,1.0
04007,1,357.2,1.0
04008,0,272.0,0.85
04008,1,337.725,1.0
05001,0,316.6666666666667,0.85
05001,1,357.0,1.0
05002,0,263.45454545454544,0.45
05002,1,343.05,1.0
05003,0,181.0,0.85
05003,1,330.2375,1.0
05004,0,339.0,0.95
05004,1,339.0125,1.0
05005,0,271.0,0.95
05005,1,299.0625,1.0
05006,0,254.0,0.9
05006,1,311.375,1.0
06001,0,241.0,0.95
06001,1,283.8625,1.0
06002,1,386.8125,1.0
06003,0,297.25,0.8
06003,1,296.4375,1.0
06004,0,283.0,0.95
06004,1,288.85,1.0
06005,1,390.3625,1.0
06006,1,402.9,1.0
06007,1,371.425,1.0
06008,0,515.5,0.8
06008,1,324.65822784810126,0.9875
06009,0,207.4,0.75
06009,1,306.0,1.0
07001,0,181.83333333333334,0.4
07001,1,297.1645569620253,0.9875
07002,0,278.77777777777777,0.55
07002,1,351.16901408450707,0.8875
07003,0,381.0,0.95
07003,1,483.4935064935065,0.9625
07004,0,299.0,0.9
07004,1,336.55,1.0
07005,0,386.0,0.95
07005,1,323.275,1.0
07006,0,373.75,0.8
07006,1,466.3150684931507,0.9125
07007,0,523.2857142857143,0.35
07007,1,502.0571428571429,0.875
07008,0,420.77777777777777,0.25
07008,1,402.3376623376623,0.9625
11001,0,249.66666666666666,0.85
11001,1,305.6625,1.0
11002,0,332.0,0.95
11002,1,306.35,1.0
11003,0,342.25,0.75
11003,1,442.25373134328356,0.8625
11004,0,374.85714285714283,0.6
11004,1,436.875,0.9
11005,0,309.6666666666667,0.85
11005,1,397.46753246753246,0.9625
11006,0,321.0,0.8
11006,1,423.93589743589746,0.975
